id,correct_resp,resp,correct,rt
15,1,2,0,1.765
15,2,2,1,1.953
15,2,1,0,2.344
15,1,1,1,1.188
15,1,1,1,2.875
15,2,2,1,0.937
15,2,2,1,1.282
15,2,1,0,1.75
15,1,1,1,1.656
15,2,2,1,2.813
15,2,2,1,0.875
15,1,1,1,1.484
15,1,1,1,1.266
15,1,1,1,2.093
15,2,2,1,1.969
15,1,1,1,1.453
15,1,1,1,1.188
15,1,1,1,3.765
15,2,2,1,4.218
15,1,1,1,2.844
15,2,2,1,1.688
15,1,1,1,1.421
15,2,2,1,0.859
15,1,2,0,1.719
15,2,2,1,1.718
15,1,1,1,2.578
15,2,2,1,0.921
15,2,2,1,1.86
15,2,2,1,1
15,1,1,1,1.156
15,2,1,0,2.344
15,1,1,1,1.36
15,1,1,1,0.781
15,1,1,1,2.094
15,1,1,1,1.75
15,2,2,1,0.86
15,2,2,1,0.875
15,2,2,1,1.86
15,1,1,1,1.25
15,1,2,0,1.906
15,2,2,1,0.657
15,1,1,1,1.172
15,1,1,1,1.594
15,2,1,0,1.984
15,1,1,1,2.485
15,2,2,1,1.687
15,2,2,1,1.969
15,1,1,1,1.234
15,2,2,1,1.141
15,2,1,0,1.094
15,2,2,1,0.859
15,2,2,1,5.109
15,1,1,1,1.25
15,2,2,1,2.781
15,1,1,1,4
16,1,1,1,1.5
16,1,1,1,1.078
16,2,2,1,2.657
16,1,1,1,0.985
16,2,2,1,0.875
16,1,1,1,0.797
16,1,1,1,2
16,2,2,1,2.281
16,1,1,1,1.031
16,1,1,1,1.265
16,1,1,1,2.609
16,1,1,1,1.109
16,1,1,1,1.031
16,2,2,1,1.203
16,1,1,1,0.938
16,2,2,1,1.407
16,2,2,1,1.125
16,1,1,1,1.266
16,1,1,1,1.328
16,1,1,1,1.047
16,2,2,1,2.485
16,2,2,1,1.375
16,2,2,1,1.172
16,1,1,1,2.265
16,1,1,1,2.844
16,1,1,1,1.547
16,2,2,1,1.109
16,2,2,1,1.469
16,2,2,1,1.375
16,1,1,1,1.063
16,2,2,1,5.203
16,1,1,1,0.812
16,1,1,1,1.453
16,2,2,1,1.234
16,2,2,1,1.11
16,1,1,1,1.11
16,2,2,1,2.344
16,1,1,1,0.859
16,1,1,1,1.468
16,1,1,1,0.922
16,2,2,1,1.234
16,2,2,1,3.453
16,1,1,1,1.141
16,1,1,1,1.5
16,1,1,1,5.938
16,2,2,1,3.234
16,2,2,1,2.281
16,1,1,1,0.782
16,1,1,1,6.453
16,1,1,1,1.14
16,1,1,1,1.062
16,1,1,1,1.25
16,2,2,1,2.61
16,1,1,1,4.516
16,2,2,1,1.265
16,1,1,1,1.922
16,1,1,1,2.86
16,1,2,0,9.172
16,1,1,1,1.375
16,2,2,1,1.609
16,1,1,1,2.016
16,1,1,1,1.438
16,1,1,1,1.625
16,2,2,1,1.218
16,2,2,1,6.328
16,1,1,1,1.422
16,2,2,1,1.172
16,2,2,1,0.797
16,1,1,1,2.344
16,1,1,1,10.657
16,2,2,1,6.203
16,1,1,1,6.531
16,1,1,1,1.14
16,2,1,0,2.688
16,1,1,1,0.984
16,2,2,1,1.531
16,2,2,1,2.672
16,1,1,1,1.969
16,1,1,1,2.719
16,1,1,1,1.937
17,1,2,0,2.281
17,2,2,1,1.312
17,1,1,1,0.859
17,1,1,1,1.203
17,2,2,1,1.125
17,2,1,0,4.203
17,2,2,1,1.234
17,2,2,1,1
17,2,2,1,1.157
17,2,2,1,2.172
17,2,2,1,1.297
17,1,1,1,1.625
17,2,2,1,2.062
17,2,2,1,1.328
17,1,1,1,2.703
17,1,1,1,2.015
17,1,1,1,1.547
17,2,2,1,1.313
17,1,1,1,1.188
17,1,1,1,1.078
17,2,1,0,2
17,2,2,1,2.187
17,2,2,1,1.078
17,2,2,1,1.375
17,1,2,0,1.547
17,1,1,1,1.453
17,2,2,1,1.516
17,2,2,1,1.094
17,2,2,1,0.796
17,2,2,1,0.828
17,1,1,1,1.515
17,1,1,1,2.265
17,1,1,1,1.047
17,1,1,1,0.985
17,2,2,1,0.985
17,2,1,0,1.829
17,1,1,1,0.86
17,2,2,1,1.063
17,2,2,1,2.063
17,1,2,0,1.235
17,1,1,1,1.704
17,1,2,0,2.547
17,2,2,1,1.453
17,1,1,1,1.25
17,1,1,1,2
17,2,2,1,1.313
17,1,1,1,2.032
17,2,2,1,1.36
17,1,1,1,1.125
17,2,2,1,2.656
17,2,2,1,1.266
17,2,2,1,0.844
17,1,1,1,0.875
17,1,1,1,1.188
17,2,2,1,2.016
17,2,2,1,3.281
17,2,2,1,1.359
17,2,2,1,1.578
17,2,2,1,1.657
17,1,1,1,1.109
17,2,2,1,1.422
17,1,2,0,1.422
17,1,1,1,1.594
17,2,2,1,3.734
17,1,1,1,1.297
17,2,2,1,2.141
17,1,1,1,0.968
17,2,1,0,1.703
17,1,2,0,1.578
17,2,2,1,1.579
17,1,1,1,2.297
17,2,1,0,2.562
17,2,2,1,1.484
17,2,2,1,1.156
17,1,1,1,1.734
17,2,2,1,0.938
17,1,1,1,1.235
17,2,2,1,1.079
17,2,2,1,1.844
17,1,1,1,1.438
18,2,2,1,2.672
18,2,2,1,3.172
18,2,2,1,1.938
18,1,1,1,1.812
18,2,2,1,4.156
18,1,1,1,1.516
18,2,2,1,2.375
18,2,2,1,1.969
18,1,1,1,2.516
18,2,2,1,2.547
18,2,1,0,5.234
18,1,1,1,1.547
18,2,2,1,1.266
18,1,1,1,0.922
18,1,1,1,1.235
18,1,1,1,0.907
18,2,2,1,0.922
18,2,2,1,4.141
18,1,1,1,1.828
18,2,2,1,3.047
18,2,2,1,2.344
18,1,1,1,2.922
18,2,2,1,1.25
18,1,1,1,1.953
18,1,1,1,0.844
18,1,1,1,1.015
18,2,2,1,2.718
18,1,1,1,2.484
18,1,1,1,2.718
18,1,1,1,2.766
18,2,2,1,3.781
18,1,1,1,3.219
18,1,1,1,1.36
18,1,1,1,3.031
18,1,1,1,3.688
18,1,1,1,2.047
18,1,1,1,0.844
18,2,2,1,3.672
18,1,1,1,1.047
18,2,1,0,2.281
18,1,1,1,2.938
18,2,1,0,2.953
18,2,1,0,1.359
18,1,1,1,1.313
18,2,2,1,1.141
18,1,1,1,4.719
18,2,2,1,3.719
18,2,2,1,3.516
18,2,2,1,1.75
18,1,1,1,3.968
18,1,1,1,1.843
18,1,1,1,1.218
18,1,1,1,0.75
18,1,1,1,2.875
18,1,1,1,2.937
18,2,2,1,4.813
18,2,2,1,1.906
18,1,1,1,0.859
18,2,2,1,5.406
18,2,2,1,1.61
18,2,1,0,3.422
18,2,1,0,2.985
18,2,2,1,1.516
18,2,2,1,4.016
18,1,1,1,0.969
18,1,1,1,2.422
18,1,1,1,1.547
18,2,2,1,2.594
18,1,1,1,2.063
18,1,2,0,1.563
18,1,1,1,2.031
18,1,1,1,3.407
18,2,2,1,1.609
18,2,2,1,1.672
18,1,2,0,7.406
18,1,1,1,2.218
18,1,1,1,1.328
18,2,2,1,2.453
18,1,1,1,0.954
18,1,1,1,2.562
19,1,1,1,3.109
19,2,2,1,0.875
19,2,2,1,1.187
19,1,1,1,0.797
19,1,1,1,1
19,2,2,1,1.047
19,2,2,1,1.172
19,2,2,1,1.125
19,2,2,1,1.156
19,2,2,1,0.766
19,2,2,1,1.391
19,1,1,1,0.89
19,2,2,1,0.843
19,1,1,1,1.656
19,2,2,1,0.812
19,2,2,1,1.172
19,2,2,1,1.063
19,1,2,0,1.266
19,1,1,1,1
19,2,2,1,0.812
19,2,2,1,1.109
19,1,1,1,1.078
19,1,1,1,1.484
19,1,1,1,0.922
19,1,1,1,1.703
19,1,1,1,1.218
19,1,1,1,1.734
19,2,2,1,1.094
19,2,2,1,0.938
19,2,2,1,1.156
19,1,1,1,1.188
19,1,1,1,1.938
19,1,1,1,1.062
19,2,1,0,1.594
19,1,1,1,1.859
19,1,1,1,2.015
19,2,2,1,1.734
19,2,2,1,1.062
19,2,1,0,1.766
19,1,1,1,0.719
19,2,2,1,0.765
19,2,2,1,0.719
19,1,1,1,0.985
19,1,1,1,0.984
19,2,2,1,2.031
19,1,2,0,1.109
19,1,1,1,0.875
19,2,2,1,1.031
19,1,2,0,1.391
19,1,1,1,1.047
19,1,2,0,1.438
19,1,1,1,0.984
19,2,2,1,0.937
19,2,2,1,1.406
19,2,1,0,0.891
19,1,1,1,1.531
19,2,2,1,1.25
19,1,1,1,2.718
19,1,1,1,2.093
19,1,1,1,1.75
19,2,2,1,2.391
19,2,2,1,1.015
19,1,1,1,1.563
19,1,1,1,2.203
19,1,1,1,0.782
19,1,2,0,2.984
19,1,1,1,1.328
19,2,2,1,1.094
19,1,1,1,2.031
19,1,1,1,3.453
19,2,2,1,1.531
19,2,2,1,1.39
19,2,2,1,0.812
19,1,1,1,1.078
19,1,1,1,0.859
19,1,1,1,1.359
19,1,1,1,1.75
19,1,1,1,1.5
19,2,2,1,1.375
19,1,1,1,1.016
20,2,2,1,3.703
20,1,1,1,1.281
20,1,1,1,1.39
20,1,1,1,1.375
20,1,1,1,1.391
20,2,1,0,4.109
20,1,1,1,5.828
20,1,1,1,2.469
20,2,1,0,2.437
20,2,2,1,1.375
20,2,2,1,2.046
20,2,2,1,3.672
20,1,1,1,1.843
20,1,1,1,1.391
20,2,2,1,3
20,2,2,1,1.625
20,1,1,1,2.313
20,1,1,1,1.921
20,2,1,0,1.641
20,2,2,1,1.578
20,1,1,1,1.766
20,2,2,1,1.188
20,2,2,1,1.641
20,2,1,0,1.282
20,1,1,1,1.75
20,2,2,1,2.125
20,1,1,1,1.266
20,2,2,1,1.39
20,2,2,1,1.219
20,1,1,1,1.578
20,2,2,1,1.532
20,2,2,1,1.469
20,1,2,0,3.5
20,1,1,1,4.797
20,1,1,1,1.281
20,1,1,1,1.531
20,2,2,1,1.843
20,2,2,1,2.766
20,1,1,1,2.766
20,1,1,1,1.313
20,2,2,1,1.703
20,1,1,1,1.407
20,2,1,0,2.078
20,2,2,1,2.906
20,2,2,1,2.344
20,2,1,0,2.485
20,1,2,0,1.453
20,1,1,1,2.187
20,2,2,1,2.937
20,1,2,0,1.453
20,2,2,1,2.859
20,2,2,1,1.375
20,1,1,1,1.094
20,1,1,1,1.297
20,1,2,0,1.422
20,1,2,0,1.766
20,2,2,1,2.266
20,2,1,0,2.359
20,2,2,1,1.593
20,1,1,1,2.453
20,2,1,0,2.14
20,1,1,1,2.375
20,2,2,1,1.437
20,2,2,1,1.313
20,2,2,1,3.094
20,1,1,1,1.953
20,1,1,1,2.391
20,2,2,1,1.781
20,1,1,1,2.125
20,2,2,1,1
20,2,2,1,1.391
20,1,1,1,2.203
20,2,2,1,0.844
20,2,2,1,3.5
20,1,1,1,1.641
20,1,1,1,1.812
20,2,2,1,2.343
20,1,2,0,2.656
20,2,2,1,4.375
20,2,2,1,3.718
21,2,2,1,1.203
21,2,2,1,1.609
21,1,1,1,2.062
21,1,1,1,0.812
21,1,1,1,1.047
21,2,2,1,0.719
21,1,1,1,1.406
21,1,1,1,2.766
21,1,1,1,0.843
21,1,2,0,1.266
21,2,1,0,1.125
21,2,2,1,0.922
21,1,1,1,1.313
21,1,1,1,1.078
21,2,2,1,1.875
21,1,1,1,0.922
21,1,1,1,0.875
21,2,2,1,1.984
21,1,1,1,0.953
21,2,2,1,1.187
21,2,2,1,1.062
21,2,2,1,1.672
21,2,2,1,0.937
21,1,1,1,1.156
21,1,2,0,2.453
21,1,1,1,1
21,1,1,1,2.422
21,2,2,1,2.297
21,1,1,1,1.187
21,2,2,1,1.797
21,2,2,1,1.547
21,2,2,1,1.234
21,1,1,1,1.172
21,1,1,1,0.938
21,2,2,1,0.812
21,1,1,1,1.219
21,2,2,1,1.39
21,2,2,1,0.828
21,2,2,1,1.437
21,2,2,1,1.469
21,2,2,1,1.125
21,1,1,1,1.39
21,2,2,1,0.906
21,2,2,1,0.906
21,1,2,0,1.657
21,1,1,1,2.532
21,2,2,1,1.156
21,2,2,1,2.313
21,1,2,0,1.422
21,1,2,0,1.437
21,1,2,0,1.14
21,1,1,1,1.219
21,1,1,1,1.641
21,1,2,0,1.453
21,2,2,1,1.391
21,2,2,1,1.016
21,2,2,1,1.375
21,2,2,1,1.422
21,2,2,1,1.031
21,2,1,0,1.328
21,1,1,1,1.859
21,1,1,1,1.828
21,2,1,0,1.36
21,1,1,1,1.532
21,2,2,1,1.656
21,2,1,0,1.344
21,2,2,1,1.922
21,2,1,0,1.406
21,1,1,1,1.094
21,1,1,1,1.266
21,2,2,1,1.312
21,2,1,0,1.594
21,1,1,1,0.891
21,2,2,1,1.579
21,1,2,0,1.203
21,1,1,1,1.281
21,2,2,1,1.172
21,2,2,1,1.047
21,2,2,1,1.687
21,1,2,0,1.078
22,2,2,1,1.938
22,1,1,1,1.469
22,2,2,1,1.359
22,2,2,1,0.875
22,1,1,1,2.594
22,2,2,1,1.093
22,2,2,1,1.531
22,1,1,1,1.172
22,1,1,1,1.157
22,2,2,1,1.188
22,2,2,1,1.047
22,1,1,1,0.875
22,2,2,1,1.782
22,1,1,1,0.969
22,2,2,1,3.218
22,1,1,1,1.141
22,1,1,1,1.407
22,1,1,1,0.891
22,2,2,1,1.016
22,2,2,1,0.968
22,1,1,1,0.953
22,2,2,1,1.031
22,1,1,1,1.218
22,2,2,1,1.25
22,1,1,1,2.031
22,1,1,1,0.937
22,2,2,1,1.281
22,1,1,1,1.25
22,2,2,1,1.297
22,2,2,1,1.578
22,2,2,1,1.25
22,2,2,1,1.484
22,1,1,1,1.438
22,1,1,1,0.953
22,2,2,1,1.125
22,2,2,1,1.062
22,1,1,1,1.547
22,1,1,1,1.375
22,2,2,1,1.156
22,2,2,1,0.812
22,2,2,1,1.156
22,2,2,1,2.25
22,2,2,1,0.86
22,2,2,1,0.953
22,1,2,0,3.984
22,2,2,1,2.625
22,1,1,1,0.89
22,1,1,1,1.453
22,2,1,0,1.484
22,2,1,0,1.953
22,2,2,1,1.219
22,1,1,1,1.094
22,1,2,0,2.141
22,1,1,1,1.813
22,2,2,1,1.125
22,2,2,1,1.062
22,2,2,1,1.375
22,1,1,1,1.875
22,2,2,1,1.625
22,2,2,1,2.234
22,1,1,1,1.204
22,1,1,1,1.172
22,2,2,1,3.25
22,1,1,1,1.609
22,2,2,1,2.015
22,2,2,1,0.859
22,1,1,1,1.984
22,1,1,1,0.828
22,1,1,1,1.218
22,1,2,0,3.156
22,1,2,0,2.719
22,1,1,1,1.36
22,2,2,1,1.313
22,1,1,1,1.609
22,2,2,1,1.219
22,2,2,1,1.5
22,2,2,1,1.297
22,1,1,1,1.297
22,2,2,1,1.515
22,2,2,1,2.219
23,2,1,0,1.61
23,1,1,1,0.985
23,1,1,1,1.86
23,1,1,1,1
23,1,1,1,0.969
23,1,1,1,1.344
23,2,1,0,1.844
23,2,1,0,1.125
23,2,2,1,1.422
23,1,1,1,1.297
23,1,2,0,1.61
23,1,2,0,1.125
23,1,1,1,1.094
23,2,2,1,1.062
23,1,2,0,1.609
23,1,1,1,1.859
23,2,2,1,0.875
23,1,1,1,1.063
23,2,2,1,1.985
23,2,1,0,3.625
23,1,1,1,1.5
23,1,1,1,1.828
23,2,2,1,1.079
23,2,2,1,1.36
23,1,1,1,0.828
23,2,2,1,1.406
23,1,1,1,1.797
23,1,1,1,1.688
23,1,1,1,0.75
23,2,2,1,1.14
23,1,1,1,0.719
23,2,1,0,3.203
23,2,2,1,2.297
23,2,2,1,1.375
23,2,2,1,1.344
23,1,1,1,1.922
23,2,1,0,0.859
23,2,1,0,2.578
23,2,2,1,0.813
23,2,2,1,1.422
23,1,2,0,1.281
23,1,1,1,1.703
23,2,1,0,1.672
23,2,2,1,1.328
23,2,1,0,1.594
23,2,1,0,2.203
23,1,1,1,2.438
23,2,2,1,1.437
23,2,2,1,1.218
23,1,1,1,0.891
23,1,1,1,1.703
23,1,2,0,2.328
23,2,2,1,1.688
23,2,2,1,1.906
23,2,1,0,2.734
23,2,2,1,1.531
23,2,2,1,2.906
23,2,2,1,1.859
23,2,2,1,1.406
23,2,2,1,1.328
23,1,2,0,1.813
23,1,2,0,2.969
23,1,2,0,1.594
23,1,2,0,2.125
23,1,1,1,1.14
23,1,1,1,1
23,1,1,1,2.297
23,2,2,1,1.406
23,1,1,1,1.281
23,1,1,1,2.093
23,2,1,0,1.125
23,1,1,1,1.047
23,1,1,1,1.39
23,2,2,1,2.438
23,1,1,1,1.203
23,1,2,0,1.281
23,1,1,1,1.094
23,1,2,0,1.578
23,1,2,0,1.421
23,1,1,1,1.141
24,1,1,1,1.734
24,2,2,1,1.297
24,2,2,1,1.579
24,1,1,1,1.485
24,2,2,1,2.172
24,2,2,1,1.61
24,1,1,1,2.25
24,1,2,0,1.843
24,1,1,1,1.75
24,2,2,1,1.14
24,1,1,1,1.39
24,1,1,1,1.5
24,1,2,0,2.719
24,2,1,0,2.609
24,2,2,1,2
24,2,2,1,1.313
24,2,2,1,1.89
24,2,1,0,2.172
24,2,2,1,2.391
24,1,1,1,1.015
24,1,1,1,2.25
24,1,1,1,3.282
24,2,2,1,0.938
24,1,1,1,1.625
24,1,2,0,2.281
24,1,1,1,1.578
24,2,2,1,1.406
24,1,1,1,2.078
24,2,1,0,2.485
24,1,1,1,2.5
24,2,2,1,1.469
24,2,2,1,1.063
24,1,1,1,1.11
24,2,2,1,1.204
24,1,1,1,1.75
24,2,2,1,1.782
24,1,1,1,0.766
24,2,2,1,2.485
24,1,2,0,4.391
24,1,1,1,2.969
24,2,2,1,1.687
24,1,2,0,2.187
24,1,2,0,1.688
24,1,1,1,2.594
24,2,2,1,2
24,2,1,0,1.781
24,1,1,1,2.015
24,2,2,1,2.344
24,2,2,1,2.735
24,2,2,1,1.297
24,2,1,0,2.234
24,2,2,1,1.125
24,1,2,0,1.547
24,1,1,1,1.25
24,1,2,0,2.063
24,2,1,0,2.266
24,2,2,1,3.062
24,2,2,1,1.625
24,2,2,1,2.11
24,1,2,0,2.61
24,2,1,0,2.235
24,1,1,1,1.438
24,1,1,1,2.141
24,2,2,1,2.219
24,2,2,1,1.64
24,1,1,1,2.562
24,2,2,1,1.469
24,1,1,1,2.672
24,1,2,0,1.406
24,1,1,1,2.828
24,1,2,0,3.719
24,1,1,1,2.25
24,1,1,1,1.188
24,2,2,1,1.968
24,2,2,1,1.562
24,2,2,1,2.484
24,1,1,1,0.906
24,1,2,0,1.797
24,2,1,0,1.688
24,2,2,1,1.36
25,1,1,1,1.687
25,1,1,1,1.5
25,1,1,1,1.094
25,2,2,1,2.609
25,2,2,1,1.375
25,2,2,1,1.859
25,2,2,1,2.25
25,1,2,0,4.094
25,1,1,1,1.625
25,2,2,1,2.406
25,2,2,1,1.454
25,2,2,1,1.719
25,2,2,1,4.094
25,2,2,1,1.422
25,1,1,1,4.312
25,2,2,1,1.469
25,1,1,1,1.125
25,1,2,0,2.812
25,1,1,1,1.937
25,2,2,1,2.469
25,2,2,1,1.016
25,1,1,1,3.359
25,2,2,1,2.984
25,2,2,1,1.406
25,2,2,1,3.984
25,1,1,1,1.796
25,2,1,0,2.312
25,2,1,0,1.579
25,1,1,1,1.703
25,2,2,1,3.062
25,2,2,1,1.687
25,2,2,1,2.625
25,2,2,1,1.344
25,2,1,0,2.297
25,2,1,0,2.578
25,1,1,1,1.656
25,2,2,1,1.64
25,2,2,1,6.766
25,2,2,1,1.922
25,1,1,1,2.969
25,1,2,0,1.796
25,1,1,1,1.891
25,1,1,1,3.281
25,2,2,1,5.422
25,1,1,1,2.234
25,2,2,1,1.14
25,2,1,0,1.937
25,1,1,1,1.359
25,2,1,0,1.687
25,2,2,1,2.89
25,1,1,1,2.516
25,2,2,1,1.953
25,1,1,1,2.797
25,2,2,1,1.125
25,1,1,1,3.609
25,1,2,0,2.172
25,2,2,1,2.281
25,1,1,1,1.531
25,2,2,1,2.203
25,2,2,1,1.172
25,1,1,1,1.484
25,2,2,1,2.328
25,1,2,0,2.109
25,1,1,1,1.328
25,2,2,1,1.688
25,2,2,1,2.532
25,2,2,1,3.063
25,1,1,1,2.594
25,1,2,0,3.047
25,2,2,1,1.891
25,1,1,1,4.218
25,2,1,0,2.156
25,2,2,1,1.109
25,1,1,1,1.297
25,2,2,1,6.36
25,2,2,1,2.609
25,1,1,1,2.75
25,2,2,1,1.156
25,1,1,1,1.266
25,2,1,0,4.468
26,2,2,1,2.219
26,1,1,1,2.281
26,2,2,1,1.484
26,1,1,1,3.688
26,2,1,0,1.797
26,2,2,1,1.187
26,1,1,1,1.359
26,1,1,1,1.062
26,1,1,1,0.969
26,1,1,1,3.11
26,2,2,1,1.422
26,1,2,0,2.375
26,1,1,1,0.797
26,2,2,1,1.515
26,2,2,1,1.25
26,1,1,1,2.718
26,2,2,1,2.422
26,2,2,1,1.25
26,1,1,1,4.765
26,2,2,1,1.234
26,2,2,1,1.578
26,2,2,1,2.813
26,1,2,0,1.89
26,1,1,1,3.14
26,2,1,0,2.375
26,1,1,1,1.359
26,2,1,0,1.797
26,1,2,0,1.625
26,2,2,1,1.125
26,2,2,1,1.063
26,1,1,1,3.047
26,2,2,1,4.25
26,2,2,1,1.5
26,1,1,1,1.172
26,1,1,1,1.266
26,1,1,1,3.735
26,1,2,0,2.063
26,2,2,1,4.687
26,1,2,0,1.797
26,1,2,0,1.875
26,2,2,1,1.516
26,1,1,1,2.328
26,2,2,1,1.704
26,2,2,1,2.219
26,2,2,1,1.734
26,1,1,1,1.296
