subjectnum;order;blockedormixed;condition;testtrial;faceorword;wordonleft;wordonright;faceonleft;faceonright;responsekey;accuracy;RT;studytrial;testbin;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;72,00;1,00;plane;increasing;0,00;0,00;2,00;1,00;1,85;44,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;73,00;1,00;capacity;smile;0,00;0,00;1,00;1,00;1,41;86,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;74,00;1,00;uniform;academic;0,00;0,00;2,00;1,00;3,05;17,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;75,00;1,00;list;paid;0,00;0,00;1,00;1,00;6,44;16,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;76,00;1,00;thing;areas;0,00;0,00;2,00;0,00;2,29;32,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;77,00;1,00;became;experienced;0,00;0,00;1,00;1,00;2,39;36,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;78,00;1,00;equal;plenty;0,00;0,00;1,00;0,00;2,72;68,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;79,00;1,00;fourth;picture;0,00;0,00;1,00;1,00;1,85;67,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;80,00;1,00;cutting;source;0,00;0,00;2,00;1,00;1,53;74,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;81,00;1,00;indeed;kitchen;0,00;0,00;1,00;0,00;2,39;92,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;82,00;1,00;year;volume;0,00;0,00;2,00;1,00;1,52;22,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;83,00;1,00;tone;projects;0,00;0,00;2,00;1,00;3,05;33,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;84,00;1,00;signs;available;0,00;0,00;2,00;1,00;1,63;61,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;85,00;1,00;named;nuclear;0,00;0,00;2,00;1,00;1,96;41,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;86,00;1,00;style;ship;0,00;0,00;1,00;1,00;1,85;24,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;87,00;1,00;silence;begins;0,00;0,00;1,00;1,00;2,83;70,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;88,00;1,00;index;name;0,00;0,00;2,00;1,00;3,71;35,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;89,00;1,00;post;funds;0,00;0,00;2,00;0,00;3,82;52,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;90,00;1,00;church;payment;0,00;0,00;1,00;1,00;2,61;93,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;91,00;1,00;scale;wind;0,00;0,00;1,00;1,00;3,60;9,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;92,00;1,00;extreme;stated;0,00;0,00;1,00;0,00;7,54;63,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;93,00;1,00;window;solid;0,00;0,00;2,00;1,00;4,91;57,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;94,00;1,00;fund;loose;0,00;0,00;1,00;1,00;1,85;55,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;95,00;1,00;sick;fellow;0,00;0,00;1,00;0,00;3,16;65,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;96,00;1,00;keeping;spent;0,00;0,00;2,00;1,00;3,28;87,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;97,00;1,00;talked;largely;0,00;0,00;2,00;1,00;1,85;89,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;98,00;1,00;ordered;natural;0,00;0,00;2,00;1,00;2,72;94,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;99,00;1,00;draw;angle;0,00;0,00;2,00;0,00;1,85;64,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;1,00;2,00;2,00;100,00;1,00;items;race;0,00;0,00;2,00;1,00;3,49;6,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;1,00;0,00;;;151,00;166,00;1,00;1,00;2,18;4,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;2,00;1,00;smaller;straight;0,00;0,00;2,00;1,00;1,85;9,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;3,00;1,00;frame;square;0,00;0,00;2,00;1,00;1,41;74,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;4,00;0,00;;;44,00;136,00;2,00;0,00;2,95;41,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;5,00;0,00;;;153,00;77,00;2,00;1,00;2,51;77,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;6,00;0,00;;;141,00;164,00;1,00;1,00;2,17;79,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;7,00;1,00;evening;avoid;0,00;0,00;1,00;1,00;1,41;34,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;8,00;0,00;;;11,00;7,00;1,00;1,00;2,95;65,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;9,00;1,00;mother;purposes;0,00;0,00;1,00;1,00;1,19;80,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;10,00;1,00;found;nearly;0,00;0,00;1,00;1,00;1,52;8,00;1,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;11,00;1,00;miss;third;0,00;0,00;2,00;1,00;2,40;21,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;12,00;1,00;ground;notice;0,00;0,00;1,00;1,00;1,08;22,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;13,00;1,00;might;surface;0,00;0,00;2,00;1,00;1,19;51,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;14,00;0,00;;;71,00;124,00;2,00;1,00;1,85;86,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;15,00;0,00;;;184,00;97,00;1,00;1,00;2,29;32,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;16,00;1,00;loved;hotel;0,00;0,00;1,00;1,00;1,52;37,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;17,00;1,00;poetry;effort;0,00;0,00;2,00;1,00;1,74;81,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;18,00;1,00;occurred;bright;0,00;0,00;2,00;1,00;1,19;91,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;19,00;0,00;;;143,00;18,00;1,00;1,00;2,51;94,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;20,00;0,00;;;19,00;167,00;2,00;1,00;2,72;96,00;2,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;21,00;0,00;;;115,00;52,00;1,00;1,00;3,72;44,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;22,00;1,00;proud;desk;0,00;0,00;1,00;0,00;1,63;33,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;23,00;0,00;;;125,00;195,00;1,00;1,00;3,38;76,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;24,00;1,00;laid;grew;0,00;0,00;2,00;1,00;1,85;58,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;25,00;1,00;worked;late;0,00;0,00;1,00;0,00;2,94;40,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;26,00;0,00;;;203,00;43,00;2,00;1,00;1,74;27,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;27,00;0,00;;;147,00;121,00;2,00;0,00;5,02;69,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;28,00;1,00;doing;dogs;0,00;0,00;1,00;1,00;1,96;92,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;29,00;0,00;;;196,00;132,00;2,00;1,00;2,08;35,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;30,00;1,00;minds;hardly;0,00;0,00;2,00;1,00;2,40;62,00;3,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;31,00;0,00;;;145,00;161,00;2,00;1,00;1,31;29,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;32,00;0,00;;;23,00;109,00;2,00;1,00;2,18;98,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;33,00;1,00;build;religion;0,00;0,00;2,00;1,00;1,08;45,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;34,00;0,00;;;32,00;105,00;1,00;1,00;2,19;48,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;35,00;0,00;;;57,00;102,00;2,00;1,00;2,51;71,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;36,00;1,00;flow;vision;0,00;0,00;2,00;1,00;1,85;38,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;37,00;1,00;possibly;spot;0,00;0,00;1,00;1,00;3,27;20,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;38,00;0,00;;;37,00;168,00;2,00;1,00;4,47;5,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;39,00;1,00;follow;metal;0,00;0,00;1,00;1,00;2,50;57,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;40,00;1,00;something;band;0,00;0,00;1,00;1,00;1,08;82,00;4,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;41,00;1,00;student;file;0,00;0,00;2,00;1,00;1,85;83,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;42,00;1,00;brief;helped;0,00;0,00;2,00;1,00;1,85;95,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;43,00;0,00;;;110,00;87,00;1,00;1,00;5,79;15,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;44,00;1,00;following;teeth;0,00;0,00;2,00;1,00;2,17;49,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;45,00;0,00;;;34,00;189,00;1,00;1,00;2,51;99,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;46,00;0,00;;;99,00;36,00;2,00;1,00;2,50;16,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;47,00;0,00;;;209,00;24,00;2,00;0,00;5,36;13,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;48,00;0,00;;;4,00;76,00;2,00;1,00;1,20;66,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;49,00;0,00;;;170,00;12,00;2,00;1,00;3,06;93,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;50,00;0,00;;;194,00;13,00;1,00;0,00;4,26;11,00;5,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;51,00;1,00;parents;fill;0,00;0,00;1,00;0,00;2,39;55,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;52,00;1,00;hard;agencies;0,00;0,00;1,00;1,00;1,19;43,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;53,00;0,00;;;144,00;81,00;2,00;1,00;1,75;64,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;54,00;0,00;;;152,00;201,00;1,00;1,00;1,53;97,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;55,00;0,00;;;90,00;178,00;1,00;1,00;1,64;60,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;56,00;0,00;;;197,00;116,00;1,00;1,00;1,64;89,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;57,00;0,00;;;176,00;66,00;2,00;1,00;1,52;52,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;58,00;0,00;;;91,00;111,00;2,00;0,00;2,29;1,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;59,00;1,00;home;closed;0,00;0,00;1,00;1,00;2,07;24,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;60,00;0,00;;;135,00;56,00;2,00;1,00;1,64;42,00;6,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;61,00;0,00;;;154,00;175,00;2,00;1,00;3,17;14,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;62,00;1,00;animal;nose;0,00;0,00;1,00;1,00;1,30;17,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;63,00;1,00;liberal;least;0,00;0,00;1,00;1,00;1,19;70,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;64,00;1,00;novel;crisis;0,00;0,00;1,00;1,00;1,96;84,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;65,00;1,00;dance;step;0,00;0,00;1,00;1,00;2,18;10,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;66,00;0,00;;;27,00;29,00;1,00;1,00;2,73;26,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;67,00;0,00;;;42,00;149,00;1,00;1,00;6,01;87,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;68,00;0,00;;;186,00;106,00;2,00;1,00;4,92;46,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;69,00;0,00;;;192,00;182,00;2,00;1,00;3,39;61,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;70,00;0,00;;;200,00;100,00;2,00;1,00;1,53;100,00;7,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;71,00;1,00;pool;reasonable;0,00;0,00;2,00;0,00;1,52;47,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;72,00;0,00;;;69,00;3,00;1,00;1,00;4,27;53,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;73,00;0,00;;;174,00;10,00;2,00;1,00;2,94;31,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;74,00;1,00;taught;marriage;0,00;0,00;2,00;1,00;1,30;23,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;75,00;1,00;address;real;0,00;0,00;1,00;1,00;1,41;2,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;76,00;1,00;approach;court;0,00;0,00;1,00;1,00;3,27;90,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;77,00;0,00;;;65,00;146,00;1,00;1,00;1,64;30,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;78,00;0,00;;;159,00;139,00;1,00;1,00;2,18;63,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;79,00;1,00;individuals;burning;0,00;0,00;1,00;1,00;1,19;75,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;80,00;0,00;;;80,00;188,00;1,00;1,00;2,40;18,00;8,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;81,00;1,00;item;bring;0,00;0,00;1,00;0,00;0,10;36,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;82,00;1,00;willing;coffee;0,00;0,00;2,00;1,00;2,29;78,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;83,00;1,00;issued;smith;0,00;0,00;2,00;1,00;1,08;7,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;84,00;0,00;;;14,00;63,00;2,00;0,00;8,75;28,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;85,00;0,00;;;50,00;62,00;2,00;1,00;4,37;25,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;86,00;1,00;winter;spread;0,00;0,00;2,00;1,00;1,63;72,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;87,00;1,00;quick;opening;0,00;0,00;2,00;1,00;1,41;68,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;88,00;1,00;life;musical;0,00;0,00;1,00;1,00;1,74;73,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;89,00;1,00;round;rule;0,00;0,00;1,00;1,00;3,16;54,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;90,00;1,00;cross;becoming;0,00;0,00;1,00;1,00;2,40;50,00;9,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;91,00;0,00;;;128,00;83,00;1,00;0,00;3,93;88,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;92,00;1,00;scene;role;0,00;0,00;1,00;1,00;1,19;39,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;93,00;1,00;start;truly;0,00;0,00;1,00;1,00;2,72;67,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;94,00;1,00;message;opened;0,00;0,00;2,00;1,00;1,41;85,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;95,00;1,00;weather;union;0,00;0,00;2,00;1,00;1,30;19,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;96,00;0,00;;;199,00;88,00;2,00;1,00;2,07;56,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;97,00;0,00;;;108,00;179,00;1,00;1,00;2,29;6,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;98,00;1,00;warm;income;0,00;0,00;2,00;1,00;1,74;12,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;99,00;0,00;;;198,00;15,00;1,00;0,00;5,57;3,00;10,00;;;;;;;;;;;;;;;;;;;;;;
22,00;2,00;1,00;3,00;100,00;1,00;system;truck;0,00;0,00;1,00;1,00;1,52;59,00;10,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;1,00;0,00;;;74,00;176,00;1,00;1,00;3,71;35,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;2,00;0,00;;;206,00;52,00;2,00;1,00;2,06;65,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;3,00;1,00;held;fund;0,00;0,00;2,00;1,00;4,36;31,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;4,00;1,00;thin;eyes;0,00;0,00;2,00;1,00;1,19;61,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;5,00;0,00;;;126,00;178,00;1,00;1,00;1,86;80,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;6,00;1,00;giving;driving;0,00;0,00;1,00;1,00;3,92;42,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;7,00;0,00;;;10,00;195,00;1,00;1,00;1,41;66,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;8,00;0,00;;;132,00;18,00;1,00;1,00;2,73;44,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;9,00;0,00;;;105,00;146,00;1,00;1,00;4,15;41,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;10,00;1,00;carry;slowly;0,00;0,00;2,00;0,00;3,05;79,00;1,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;11,00;0,00;;;137,00;76,00;1,00;0,00;3,05;48,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;12,00;1,00;least;typical;0,00;0,00;2,00;0,00;1,63;13,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;13,00;1,00;version;real;0,00;0,00;1,00;1,00;1,19;49,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;14,00;1,00;free;drop;0,00;0,00;1,00;1,00;0,86;92,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;15,00;1,00;fellow;sight;0,00;0,00;2,00;1,00;1,74;6,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;16,00;0,00;;;95,00;154,00;2,00;1,00;1,85;78,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;17,00;1,00;fixed;loved;0,00;0,00;1,00;1,00;1,30;15,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;18,00;0,00;;;45,00;194,00;2,00;1,00;6,01;21,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;19,00;1,00;ultimate;hung;0,00;0,00;2,00;1,00;2,17;8,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;20,00;1,00;kept;heavy;0,00;0,00;1,00;0,00;2,18;40,00;2,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;21,00;0,00;;;46,00;108,00;1,00;1,00;2,29;25,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;22,00;1,00;council;disease;0,00;0,00;1,00;1,00;1,96;57,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;23,00;0,00;;;113,00;12,00;1,00;1,00;3,06;84,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;24,00;1,00;store;frequently;0,00;0,00;1,00;1,00;2,18;64,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;25,00;1,00;post;support;0,00;0,00;1,00;1,00;2,94;70,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;26,00;0,00;;;29,00;13,00;1,00;0,00;1,85;29,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;27,00;0,00;;;199,00;28,00;1,00;1,00;2,18;30,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;28,00;0,00;;;71,00;148,00;2,00;1,00;1,41;11,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;29,00;1,00;taste;charge;0,00;0,00;2,00;1,00;1,63;94,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;30,00;1,00;types;symbol;0,00;0,00;1,00;1,00;2,18;1,00;3,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;31,00;0,00;;;38,00;100,00;2,00;1,00;1,85;59,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;32,00;0,00;;;173,00;129,00;1,00;1,00;1,41;58,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;33,00;1,00;walked;highest;0,00;0,00;2,00;1,00;1,52;37,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;34,00;0,00;;;169,00;48,00;1,00;1,00;1,52;22,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;35,00;0,00;;;30,00;80,00;1,00;1,00;1,63;10,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;36,00;0,00;;;24,00;139,00;2,00;1,00;1,41;56,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;37,00;0,00;;;81,00;33,00;1,00;1,00;1,52;88,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;38,00;1,00;song;spirit;0,00;0,00;1,00;0,00;1,96;73,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;39,00;0,00;;;63,00;152,00;2,00;1,00;1,30;75,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;40,00;0,00;;;201,00;40,00;1,00;1,00;2,07;60,00;4,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;41,00;1,00;broke;truly;0,00;0,00;1,00;1,00;1,63;32,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;42,00;1,00;editor;animal;0,00;0,00;2,00;0,00;2,17;36,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;43,00;1,00;clay;conflict;0,00;0,00;1,00;1,00;1,63;82,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;44,00;0,00;;;19,00;11,00;2,00;1,00;3,82;85,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;45,00;0,00;;;31,00;196,00;1,00;1,00;1,52;98,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;46,00;0,00;;;165,00;44,00;2,00;1,00;3,49;99,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;47,00;0,00;;;26,00;25,00;2,00;1,00;1,85;93,00;5,00;;;;;;;;;;;;;;;;;;;;;;
23,00;1,00;1,00;3,00;48,00;1,00;unable;table;0,00;0,00;1,00;1,00;1,52;72,00;5,00;;;;;;;;;;;;;;;;;;;;;;
