subjectnum;order;blockedormixed;condition;testtrial;faceorword;wordonleft;wordonright;faceonleft;faceonright;responsekey;accuracy;RT;studytrial;testbin;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;39,00;1,00;element;program;0,00;0,00;2,00;1,00;1,96;96,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;40,00;1,00;drive;hearing;0,00;0,00;2,00;1,00;1,41;83,00;4,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;41,00;1,00;moon;birth;0,00;0,00;2,00;1,00;1,30;60,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;42,00;1,00;inner;drawn;0,00;0,00;2,00;1,00;1,63;51,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;43,00;1,00;lives;nation;0,00;0,00;1,00;1,00;1,74;57,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;44,00;1,00;narrow;officer;0,00;0,00;1,00;1,00;1,74;39,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;45,00;1,00;strength;session;0,00;0,00;2,00;1,00;2,50;80,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;46,00;1,00;hill;season;0,00;0,00;2,00;1,00;2,61;47,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;47,00;1,00;aircraft;index;0,00;0,00;1,00;1,00;1,63;71,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;48,00;1,00;plenty;bottom;0,00;0,00;2,00;1,00;1,41;76,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;49,00;1,00;chance;always;0,00;0,00;2,00;0,00;2,83;1,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;50,00;1,00;version;platform;0,00;0,00;1,00;1,00;1,63;64,00;5,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;51,00;0,00;;;73,00;31,00;1,00;1,00;2,95;15,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;52,00;0,00;;;25,00;145,00;2,00;1,00;1,85;4,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;53,00;0,00;;;130,00;136,00;1,00;1,00;2,40;46,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;54,00;0,00;;;33,00;152,00;2,00;1,00;2,08;79,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;55,00;0,00;;;67,00;112,00;1,00;1,00;2,95;55,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;56,00;0,00;;;12,00;197,00;2,00;1,00;2,07;23,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;57,00;0,00;;;58,00;2,00;2,00;1,00;1,64;14,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;58,00;0,00;;;89,00;77,00;2,00;1,00;1,96;33,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;59,00;0,00;;;53,00;51,00;1,00;1,00;1,64;49,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;60,00;0,00;;;186,00;161,00;2,00;1,00;1,64;56,00;6,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;61,00;0,00;;;117,00;106,00;2,00;1,00;1,85;92,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;62,00;0,00;;;44,00;72,00;2,00;1,00;2,18;7,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;63,00;0,00;;;131,00;122,00;1,00;1,00;1,42;20,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;64,00;0,00;;;55,00;52,00;2,00;1,00;3,93;42,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;65,00;0,00;;;37,00;109,00;2,00;1,00;1,30;48,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;66,00;0,00;;;165,00;43,00;1,00;1,00;1,63;93,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;67,00;0,00;;;92,00;86,00;1,00;1,00;2,07;40,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;68,00;0,00;;;164,00;30,00;1,00;1,00;2,62;97,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;69,00;0,00;;;159,00;19,00;1,00;1,00;1,20;25,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;70,00;0,00;;;169,00;24,00;2,00;1,00;2,08;36,00;7,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;71,00;0,00;;;144,00;199,00;1,00;0,00;2,18;65,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;72,00;0,00;;;206,00;1,00;2,00;1,00;1,96;11,00;8,00;;;;;;;;;;;;;;;;;;;;;;
