"","sub","condition","type","old","response","correct","time"
"837",10878,"hehe","hetero",1,1,1,1000
"838",10878,"hehe","hetero",1,1,1,1562
"839",10878,"hehe","hetero",2,2,1,1328
"840",10878,"hehe","hetero",1,1,1,1594
"841",10878,"hehe","hetero",2,2,1,1188
"842",10878,"hehe","hetero",1,1,1,1453
"843",10878,"hehe","hetero",2,2,1,906
"844",10878,"hehe","hetero",1,2,0,2625
"845",10878,"hehe","hetero",2,2,1,1000
"846",10878,"hehe","hetero",2,2,1,1094
"847",10878,"hehe","hetero",1,1,1,1094
"848",10878,"hehe","hetero",1,1,1,1406
"849",10878,"hehe","hetero",2,2,1,2547
"850",10878,"hehe","hetero",1,1,1,1359
"851",10878,"hehe","hetero",2,2,1,1610
"852",10878,"hehe","hetero",2,2,1,1156
"853",10878,"hehe","hetero",2,2,1,1094
"854",10878,"hehe","hetero",1,1,1,2500
"855",10878,"hehe","hetero",1,1,1,1563
"856",10878,"hehe","hetero",1,1,1,1328
"857",10878,"hehe","hetero",2,2,1,1125
"858",10878,"hehe","hetero",2,1,0,2453
"859",10878,"hehe","hetero",2,2,1,953
"860",10878,"hehe","hetero",1,1,1,890
"861",10878,"hehe","hetero",1,1,1,2109
"862",10878,"hehe","hetero",2,2,1,891
"863",10878,"hehe","hetero",2,1,0,3422
"864",10878,"hehe","hetero",1,1,1,1437
"865",10878,"hehe","hetero",1,1,1,984
"866",10878,"hehe","hetero",1,1,1,3625
"867",10878,"hehe","hetero",1,1,1,1704
"868",10878,"hehe","hetero",2,2,1,985
"869",10878,"hehe","hetero",1,1,1,1078
"870",10878,"hehe","hetero",1,1,1,2500
"871",10878,"hehe","hetero",2,2,1,875
"872",10878,"hehe","hetero",1,1,1,1203
"873",10878,"hehe","hetero",2,2,1,1531
"874",10878,"hehe","hetero",1,1,1,1438
"875",10878,"hehe","hetero",2,2,1,1093
"876",10878,"hehe","hetero",1,1,1,1687
"877",10878,"hehe","hetero",2,2,1,2875
"878",10878,"hehe","hetero",1,1,1,1563
"879",10878,"hehe","hetero",2,2,1,2672
"880",10878,"hehe","hetero",2,2,1,782
"961",10937,"hoho","homo",2,1,0,5390
"962",10937,"hoho","homo",1,1,1,1875
"963",10937,"hoho","homo",1,1,1,2141
"964",10937,"hoho","homo",1,1,1,1875
"965",10937,"hoho","homo",1,2,0,1187
"966",10937,"hoho","homo",1,1,1,1781
"967",10937,"hoho","homo",1,1,1,1281
"968",10937,"hoho","homo",2,2,1,1094
"969",10937,"hoho","homo",1,1,1,1500
"970",10937,"hoho","homo",1,2,0,1719
"971",10937,"hoho","homo",2,2,1,1328
"972",10937,"hoho","homo",2,1,0,1125
"973",10937,"hoho","homo",2,2,1,1266
"974",10937,"hoho","homo",1,1,1,859
"975",10937,"hoho","homo",2,2,1,1563
"976",10937,"hoho","homo",1,1,1,797
"977",10937,"hoho","homo",1,2,0,1734
"978",10937,"hoho","homo",2,2,1,2547
"979",10937,"hoho","homo",2,2,1,1218
"980",10937,"hoho","homo",2,1,0,1375
"981",10937,"hoho","homo",2,1,0,1047
"982",10937,"hoho","homo",2,2,1,1484
"983",10937,"hoho","homo",1,1,1,2062
"984",10937,"hoho","homo",2,2,1,937
"985",10937,"hoho","homo",1,1,1,1250
"986",10937,"hoho","homo",1,2,0,1672
"987",10937,"hoho","homo",1,2,0,1203
"988",10937,"hoho","homo",1,2,0,1329
"989",10937,"hoho","homo",1,1,1,1094
"990",10937,"hoho","homo",2,2,1,1375
"991",10937,"hoho","homo",2,1,0,1016
"992",10937,"hoho","homo",1,1,1,1297
"993",10937,"hoho","homo",2,2,1,1391
"994",10937,"hoho","homo",2,2,1,1422
"995",10937,"hoho","homo",2,2,1,1282
"996",10937,"hoho","homo",1,1,1,1125
"997",10937,"hoho","homo",1,2,0,1422
"998",10937,"hoho","homo",2,2,1,1187
"999",10937,"hoho","homo",1,2,0,1641
"1000",10937,"hoho","homo",2,2,1,1140
"1001",10937,"hoho","homo",1,1,1,1063
"1002",10937,"hoho","homo",1,2,0,1235
"1003",10937,"hoho","homo",1,2,0,1250
"1004",10937,"hoho","homo",1,2,0,1250
"1005",10937,"hoho","homo",2,2,1,1532
"1006",10937,"hoho","homo",1,1,1,1219
"1007",10937,"hoho","homo",2,2,1,1125
"1008",10937,"hoho","homo",1,1,1,1078
"1009",10937,"hoho","homo",1,1,1,2266
"1010",10937,"hoho","homo",2,2,1,1375
"1011",10937,"hoho","homo",2,2,1,1735
"1012",10937,"hoho","homo",2,2,1,1734
"1013",10937,"hoho","homo",2,2,1,1218
"1014",10937,"hoho","homo",2,2,1,1078
"1015",10937,"hoho","homo",2,2,1,1047
"1016",10937,"hoho","homo",2,2,1,1297
"1017",10937,"hoho","homo",2,2,1,1031
"1018",10937,"hoho","homo",2,2,1,1234
"1019",10937,"hoho","homo",2,2,1,1172
"1020",10937,"hoho","homo",1,2,0,1141
"1021",10937,"hoho","homo",1,1,1,1031
"1022",10937,"hoho","homo",1,1,1,1125
"1023",10937,"hoho","homo",1,1,1,1156
"1024",10937,"hoho","homo",1,2,0,1109
"1025",10937,"hoho","homo",2,1,0,1047
"1026",10937,"hoho","homo",1,1,1,984
"1027",10937,"hoho","homo",1,1,1,1484
"1028",10937,"hoho","homo",1,2,0,969
"1029",10937,"hoho","homo",1,2,0,969
"1030",10937,"hoho","homo",1,1,1,1125
"1031",10937,"hoho","homo",2,1,0,1031
"1032",10937,"hoho","homo",1,2,0,1031
"1033",10937,"hoho","homo",1,2,0,969
"1034",10937,"hoho","homo",1,2,0,1250
"1035",10937,"hoho","homo",2,2,1,1172
"1036",10937,"hoho","homo",2,2,1,1266
"1037",10937,"hoho","homo",1,1,1,1266
"1038",10937,"hoho","homo",2,1,0,1141
"1039",10937,"hoho","homo",2,1,0,2438
"1040",10937,"hoho","homo",1,1,1,1125
"1441",12758,"hoho","homo",2,2,1,6250
"1442",12758,"hoho","homo",1,2,0,3188
"1443",12758,"hoho","homo",1,1,1,1750
"1444",12758,"hoho","homo",2,2,1,2016
"1445",12758,"hoho","homo",2,2,1,1547
"1446",12758,"hoho","homo",2,2,1,4797
"1447",12758,"hoho","homo",1,1,1,2547
"1448",12758,"hoho","homo",1,2,0,5000
"1449",12758,"hoho","homo",2,2,1,4015
"1450",12758,"hoho","homo",1,1,1,1328
"1451",12758,"hoho","homo",1,1,1,1641
"1452",12758,"hoho","homo",1,2,0,4094
"1453",12758,"hoho","homo",1,1,1,2063
"1454",12758,"hoho","homo",1,1,1,3031
"1455",12758,"hoho","homo",2,2,1,2687
"1456",12758,"hoho","homo",1,1,1,2344
"1457",12758,"hoho","homo",1,2,0,2625
"1458",12758,"hoho","homo",2,1,0,1484
"1459",12758,"hoho","homo",2,2,1,1437
"1460",12758,"hoho","homo",2,2,1,2969
"1461",12758,"hoho","homo",2,2,1,3219
"1462",12758,"hoho","homo",2,2,1,2000
"1463",12758,"hoho","homo",2,2,1,2266
"1464",12758,"hoho","homo",1,1,1,3922
"1465",12758,"hoho","homo",1,1,1,4609
"1466",12758,"hoho","homo",2,2,1,2000
"1467",12758,"hoho","homo",2,1,0,3484
"1468",12758,"hoho","homo",2,2,1,5563
"1469",12758,"hoho","homo",2,2,1,1610
"1470",12758,"hoho","homo",1,1,1,1250
"1471",12758,"hoho","homo",2,2,1,2766
"1472",12758,"hoho","homo",2,2,1,3329
"1473",12758,"hoho","homo",1,1,1,1218
"1474",12758,"hoho","homo",2,1,0,2000
"1475",12758,"hoho","homo",1,1,1,2781
"1476",12758,"hoho","homo",1,1,1,2047
"1477",12758,"hoho","homo",2,2,1,2438
"1478",12758,"hoho","homo",1,2,0,2656
"1479",12758,"hoho","homo",1,2,0,2187
"1480",12758,"hoho","homo",1,2,0,1984
"1481",12758,"hoho","homo",2,2,1,3031
"1482",12758,"hoho","homo",1,1,1,2047
"1483",12758,"hoho","homo",1,1,1,6937
"1484",12758,"hoho","homo",2,1,0,1891
"1485",12758,"hoho","homo",2,2,1,3391
"1486",12758,"hoho","homo",2,2,1,5265
"1487",12758,"hoho","homo",1,2,0,3047
"1488",12758,"hoho","homo",1,1,1,2610
"1489",12758,"hoho","homo",1,1,1,2485
"1490",12758,"hoho","homo",1,1,1,2953
"1491",12758,"hoho","homo",2,2,1,2953
"1492",12758,"hoho","homo",2,2,1,2750
"1493",12758,"hoho","homo",2,1,0,4093
"1494",12758,"hoho","homo",2,2,1,1656
"1495",12758,"hoho","homo",2,1,0,1688
"1496",12758,"hoho","homo",1,1,1,2000
"1497",12758,"hoho","homo",2,1,0,2828
